Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,8,195,1,Some Random Commen with Id 0
1,0,8,160,5,Some Random Commen with Id 1
2,0,8,43,6,Some Random Commen with Id 2
3,0,8,73,8,Some Random Commen with Id 3
4,0,8,170,5,Some Random Commen with Id 4
5,0,8,67,0,Some Random Commen with Id 5
6,1,0,155,4,Some Random Commen with Id 6
7,1,0,128,3,Some Random Commen with Id 7
8,1,0,78,9,Some Random Commen with Id 8
9,2,2,61,1,Some Random Commen with Id 9
10,2,2,106,2,Some Random Commen with Id 10
11,2,2,195,7,Some Random Commen with Id 11
12,2,2,147,6,Some Random Commen with Id 12
13,2,2,44,9,Some Random Commen with Id 13
14,2,2,60,5,Some Random Commen with Id 14
15,2,2,144,3,Some Random Commen with Id 15
16,3,6,13,3,Some Random Commen with Id 16
17,3,6,1,7,Some Random Commen with Id 17
18,4,3,61,3,Some Random Commen with Id 18
19,4,3,40,6,Some Random Commen with Id 19
20,5,2,108,0,Some Random Commen with Id 20
21,5,2,124,2,Some Random Commen with Id 21
22,5,2,94,0,Some Random Commen with Id 22
23,6,4,165,2,Some Random Commen with Id 23
24,6,4,94,4,Some Random Commen with Id 24
25,6,4,28,9,Some Random Commen with Id 25
26,6,4,101,6,Some Random Commen with Id 26
27,6,4,5,3,Some Random Commen with Id 27
28,6,4,117,8,Some Random Commen with Id 28
29,6,4,134,6,Some Random Commen with Id 29
30,6,4,143,0,Some Random Commen with Id 30
31,7,4,63,0,Some Random Commen with Id 31
32,8,6,170,3,Some Random Commen with Id 32
33,8,6,136,5,Some Random Commen with Id 33
34,8,6,121,6,Some Random Commen with Id 34
35,9,9,160,5,Some Random Commen with Id 35
36,9,9,119,6,Some Random Commen with Id 36
37,9,9,88,1,Some Random Commen with Id 37
38,9,9,188,5,Some Random Commen with Id 38
39,9,9,176,1,Some Random Commen with Id 39
40,9,9,122,8,Some Random Commen with Id 40
41,9,9,35,6,Some Random Commen with Id 41
42,9,9,15,0,Some Random Commen with Id 42
43,9,9,90,7,Some Random Commen with Id 43
44,10,9,2,3,Some Random Commen with Id 44
45,10,9,17,6,Some Random Commen with Id 45
46,10,9,136,6,Some Random Commen with Id 46
47,10,9,31,6,Some Random Commen with Id 47
48,10,9,81,8,Some Random Commen with Id 48
49,10,9,19,4,Some Random Commen with Id 49
50,10,9,39,9,Some Random Commen with Id 50
51,11,8,85,4,Some Random Commen with Id 51
52,11,8,72,3,Some Random Commen with Id 52
53,11,8,139,0,Some Random Commen with Id 53
54,11,8,99,4,Some Random Commen with Id 54
55,11,8,165,5,Some Random Commen with Id 55
56,12,2,30,2,Some Random Commen with Id 56
57,12,2,131,6,Some Random Commen with Id 57
58,12,2,58,0,Some Random Commen with Id 58
59,12,2,21,6,Some Random Commen with Id 59
60,12,2,168,7,Some Random Commen with Id 60
61,13,0,87,8,Some Random Commen with Id 61
62,14,8,168,3,Some Random Commen with Id 62
63,14,8,41,1,Some Random Commen with Id 63
64,14,8,64,8,Some Random Commen with Id 64
65,14,8,108,6,Some Random Commen with Id 65
66,14,8,9,8,Some Random Commen with Id 66
67,14,8,190,8,Some Random Commen with Id 67
68,14,8,199,4,Some Random Commen with Id 68
69,15,8,149,6,Some Random Commen with Id 69
70,15,8,105,0,Some Random Commen with Id 70
71,15,8,2,3,Some Random Commen with Id 71
72,15,8,50,3,Some Random Commen with Id 72
73,16,0,140,5,Some Random Commen with Id 73
74,16,0,182,4,Some Random Commen with Id 74
75,16,0,155,1,Some Random Commen with Id 75
76,16,0,183,7,Some Random Commen with Id 76
77,17,3,55,5,Some Random Commen with Id 77
78,18,8,183,2,Some Random Commen with Id 78
79,18,8,124,6,Some Random Commen with Id 79
80,18,8,76,8,Some Random Commen with Id 80
81,18,8,83,8,Some Random Commen with Id 81
82,18,8,69,7,Some Random Commen with Id 82
83,18,8,13,0,Some Random Commen with Id 83
84,18,8,151,1,Some Random Commen with Id 84
85,20,2,75,0,Some Random Commen with Id 85
86,20,2,83,7,Some Random Commen with Id 86
87,20,2,128,7,Some Random Commen with Id 87
88,20,2,104,1,Some Random Commen with Id 88
89,21,5,92,9,Some Random Commen with Id 89
90,21,5,12,6,Some Random Commen with Id 90
91,21,5,135,4,Some Random Commen with Id 91
92,21,5,59,0,Some Random Commen with Id 92
93,21,5,58,9,Some Random Commen with Id 93
94,21,5,32,1,Some Random Commen with Id 94
95,21,5,137,8,Some Random Commen with Id 95
96,21,5,154,8,Some Random Commen with Id 96
97,21,5,5,6,Some Random Commen with Id 97
98,22,2,104,0,Some Random Commen with Id 98
99,22,2,27,2,Some Random Commen with Id 99
100,22,2,161,3,Some Random Commen with Id 100
101,22,2,48,0,Some Random Commen with Id 101
102,22,2,96,5,Some Random Commen with Id 102
103,22,2,36,3,Some Random Commen with Id 103
104,22,2,108,4,Some Random Commen with Id 104
105,22,2,72,3,Some Random Commen with Id 105
106,23,9,23,2,Some Random Commen with Id 106
107,23,9,171,9,Some Random Commen with Id 107
108,23,9,35,1,Some Random Commen with Id 108
109,23,9,133,4,Some Random Commen with Id 109
110,23,9,156,0,Some Random Commen with Id 110
111,23,9,32,7,Some Random Commen with Id 111
112,23,9,7,4,Some Random Commen with Id 112
113,23,9,29,9,Some Random Commen with Id 113
114,23,9,171,4,Some Random Commen with Id 114
115,24,0,31,3,Some Random Commen with Id 115
116,24,0,34,9,Some Random Commen with Id 116
117,24,0,63,9,Some Random Commen with Id 117
118,24,0,106,5,Some Random Commen with Id 118
119,24,0,93,3,Some Random Commen with Id 119
120,24,0,26,6,Some Random Commen with Id 120
121,25,5,108,6,Some Random Commen with Id 121
122,26,5,38,2,Some Random Commen with Id 122
123,27,0,43,2,Some Random Commen with Id 123
124,27,0,197,7,Some Random Commen with Id 124
125,27,0,159,3,Some Random Commen with Id 125
126,27,0,69,6,Some Random Commen with Id 126
127,28,6,161,7,Some Random Commen with Id 127
128,28,6,138,9,Some Random Commen with Id 128
129,28,6,37,1,Some Random Commen with Id 129
130,28,6,164,0,Some Random Commen with Id 130
131,28,6,165,4,Some Random Commen with Id 131
132,28,6,141,4,Some Random Commen with Id 132
133,28,6,188,3,Some Random Commen with Id 133
134,29,2,168,3,Some Random Commen with Id 134
135,30,1,2,6,Some Random Commen with Id 135
136,30,1,172,1,Some Random Commen with Id 136
137,30,1,153,6,Some Random Commen with Id 137
138,30,1,179,8,Some Random Commen with Id 138
139,30,1,70,6,Some Random Commen with Id 139
140,31,2,153,7,Some Random Commen with Id 140
141,31,2,189,7,Some Random Commen with Id 141
142,31,2,27,4,Some Random Commen with Id 142
143,31,2,164,1,Some Random Commen with Id 143
144,32,9,75,1,Some Random Commen with Id 144
145,32,9,78,5,Some Random Commen with Id 145
146,32,9,37,9,Some Random Commen with Id 146
147,32,9,66,2,Some Random Commen with Id 147
148,32,9,28,5,Some Random Commen with Id 148
149,32,9,117,7,Some Random Commen with Id 149
150,32,9,85,7,Some Random Commen with Id 150
151,32,9,71,4,Some Random Commen with Id 151
152,32,9,108,2,Some Random Commen with Id 152
153,33,9,6,7,Some Random Commen with Id 153
154,33,9,165,3,Some Random Commen with Id 154
155,34,4,108,4,Some Random Commen with Id 155
156,34,4,71,1,Some Random Commen with Id 156
157,34,4,58,9,Some Random Commen with Id 157
158,34,4,32,1,Some Random Commen with Id 158
159,34,4,139,8,Some Random Commen with Id 159
160,35,7,161,9,Some Random Commen with Id 160
161,35,7,18,3,Some Random Commen with Id 161
162,35,7,181,7,Some Random Commen with Id 162
163,35,7,138,0,Some Random Commen with Id 163
164,35,7,163,5,Some Random Commen with Id 164
165,37,6,162,5,Some Random Commen with Id 165
166,37,6,96,2,Some Random Commen with Id 166
167,37,6,121,4,Some Random Commen with Id 167
168,37,6,13,1,Some Random Commen with Id 168
169,38,2,166,6,Some Random Commen with Id 169
170,38,2,48,0,Some Random Commen with Id 170
171,38,2,2,5,Some Random Commen with Id 171
172,38,2,165,5,Some Random Commen with Id 172
173,38,2,105,2,Some Random Commen with Id 173
174,38,2,36,5,Some Random Commen with Id 174
175,38,2,63,4,Some Random Commen with Id 175
